layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1.00000095,0.88026476,0.67023617,0.49612138,0.27401853,0.14838408,0.12847812,0.05267346,0.04457838,0.01709715,0.00078730,-0.01294670,-0.00823527,-0.00970876,0.00665141,-0.01589369,0.00054561,-0.00768423,-0.02016658,-0.01989429,-0.02803204,-0.04391254,-0.03666681,-0.04244705,-0.02855798,-0.03369381,-0.03339577,-0.03460050,-0.03314599,-0.03284606,-0.03107978,-0.02567582,-0.02823455,-0.02574127,-0.02574725,0.05863712
1,0.88026476,1.00000083,0.72751617,0.55543226,0.27437127,0.17607133,0.16608129,0.05710055,0.04531776,0.02319307,0.03083078,-0.00326442,0.00360150,-0.01401513,0.01477429,-0.03136876,-0.01796438,-0.03262990,-0.04730310,-0.04382744,-0.04707934,-0.05970308,-0.04933277,-0.05937979,-0.02481272,-0.02833603,-0.03576216,-0.03382188,-0.03588670,-0.02841790,-0.02146794,-0.01811473,-0.01924400,-0.02856114,-0.02971704,0.11668752
2,0.67023617,0.72751617,1.00000048,0.66590708,0.35628831,0.20884033,0.17314866,0.07307135,0.04595989,0.02852294,0.01207761,0.00111246,0.01410672,0.01078502,0.01077076,-0.01116729,-0.01074307,-0.01603046,-0.02089604,-0.01547598,-0.01715081,-0.03933860,-0.02579187,-0.03995703,-0.01496350,-0.02025042,-0.02976511,-0.03389045,-0.03560830,-0.03039582,-0.03166746,-0.02490702,-0.03084721,-0.03326412,-0.04145930,0.04804624
3,0.49612138,0.55543226,0.66590708,1.00000072,0.53655398,0.32337719,0.25292677,0.10825570,0.06265972,0.03675301,0.04381672,0.02773002,0.03847929,0.03614665,0.03116790,-0.01093577,-0.00694208,-0.03206561,-0.01938718,-0.01568994,-0.01952213,-0.02743225,-0.02019190,-0.03254642,-0.00415817,-0.00718691,-0.02252003,-0.02137990,-0.02431539,-0.01959648,-0.01497216,-0.01286009,-0.01900641,-0.02025437,-0.02291301,0.07197011
4,0.27401853,0.27437127,0.35628831,0.53655398,1.00000072,0.55539322,0.42429730,0.20613280,0.11527649,0.06670547,0.06533677,0.05687878,0.06252562,0.05541772,0.03550551,0.06061006,0.03867992,0.03426017,0.07290768,0.05174961,0.05278480,0.04209150,0.04450896,0.02661971,0.01164145,0.02323244,0.01296580,0.01653581,0.00634857,-0.00355815,-0.00433451,-0.00590345,-0.00578491,0.00667243,0.00859957,-0.04900934
5,0.14838408,0.17607133,0.20884033,0.32337719,0.55539322,1.00000095,0.77969027,0.44801134,0.23875719,0.16294569,0.11778177,0.10174459,0.09903449,0.06778977,0.04185949,0.02350822,0.02044235,-0.00028416,0.01953178,0.01423200,0.02000807,0.01369740,0.00347832,-0.02217894,-0.02641830,-0.02638449,-0.02387658,-0.02407345,-0.01465786,-0.00987293,-0.01269859,-0.01460351,-0.01013104,-0.01248884,-0.02085153,0.00446342
6,0.12847812,0.16608129,0.17314866,0.25292677,0.42429730,0.77969027,1.00000072,0.58248043,0.29900283,0.21114065,0.14169000,0.11600033,0.11173398,0.08301880,0.04644922,0.02060492,0.01268617,0.00492036,0.01194077,-0.00179862,0.00850774,0.01017865,-0.00508629,-0.02894886,-0.02544447,-0.02593194,-0.03027240,-0.02668664,-0.02559922,-0.01771541,-0.02151514,-0.02179964,-0.01665442,-0.02141208,-0.03135322,0.01850062
7,0.05267346,0.05710055,0.07307135,0.10825570,0.20613280,0.44801134,0.58248043,1.00000095,0.50812906,0.31567076,0.22746801,0.21161371,0.15097213,0.12911458,0.09324154,0.02828075,0.01986028,0.01119024,-0.00430611,-0.01368253,-0.00676723,-0.00106256,-0.01114867,-0.02861936,-0.02768691,-0.02899072,-0.03005339,-0.02618553,-0.02474815,-0.02144575,-0.02655849,-0.02951550,-0.02614256,-0.01688726,-0.03477156,0.01309769
8,0.04457838,0.04531776,0.04595989,0.06265972,0.11527649,0.23875719,0.29900283,0.50812906,1.00000119,0.54304814,0.35705900,0.26176870,0.18465267,0.14099211,0.10571696,0.06179074,0.02646672,0.02814246,-0.00793480,0.01075380,0.00924256,-0.00751133,-0.01018879,-0.01284641,-0.00439386,-0.00875693,-0.00281945,0.00496401,0.00733678,0.00028179,-0.00781061,-0.00253969,-0.00251815,0.00158715,-0.01006191,0.03280817
9,0.01709715,0.02319307,0.02852294,0.03675301,0.06670547,0.16294569,0.21114065,0.31567076,0.54304814,1.00000072,0.56849629,0.40406206,0.29095098,0.21778885,0.13159892,0.07381799,0.02350393,0.01029302,-0.02121060,-0.02266070,-0.04137130,-0.04451825,-0.04756198,-0.04634356,-0.02760879,-0.02678329,-0.02899791,-0.02380356,-0.02355840,-0.02175565,-0.02159788,-0.01480969,-0.01593086,-0.01727397,-0.03328546,0.03544828
10,0.00078730,0.03083078,0.01207761,0.04381672,0.06533677,0.11778177,0.14169000,0.22746801,0.35705900,0.56849629,1.00000060,0.66037375,0.43430099,0.30758053,0.21507968,0.13679978,0.07571772,0.04920920,-0.00067713,-0.01138613,-0.02309451,-0.01689542,-0.01174641,-0.01329292,0.00079499,-0.00366829,-0.00499354,-0.00378634,-0.00677804,-0.00709905,-0.00242749,-0.00248156,-0.01145506,-0.01440459,-0.04037565,0.04938636
11,-0.01294670,-0.00326442,0.00111246,0.02773002,0.05687878,0.10174459,0.11600033,0.21161371,0.26176870,0.40406206,0.66037375,1.00000095,0.64326841,0.45200744,0.29788855,0.20371819,0.13636285,0.11033186,0.05330713,0.02268351,0.02141831,0.02591011,0.03549794,0.02404090,0.01054419,0.00678733,0.00258608,0.00298041,0.00149861,0.00556276,0.00334101,-0.00211434,-0.00042144,-0.00417824,-0.02675031,0.01962230
12,-0.00823527,0.00360150,0.01410672,0.03847929,0.06252562,0.09903449,0.11173398,0.15097213,0.18465267,0.29095098,0.43430099,0.64326841,1.00000095,0.67433244,0.43461221,0.31201139,0.22589186,0.15289943,0.06719969,0.06037169,0.04845624,0.05787253,0.04589866,0.03723236,0.03558676,0.02988222,0.02791130,0.02601781,0.02465595,0.02439432,0.02181741,0.01483754,0.01256095,0.00004720,-0.02098840,0.03767323
13,-0.00970876,-0.01401513,0.01078502,0.03614665,0.05541772,0.06778977,0.08301880,0.12911458,0.14099211,0.21778885,0.30758053,0.45200744,0.67433244,1.00000072,0.57349771,0.37654501,0.27233073,0.20024373,0.11597657,0.06785102,0.04817101,0.05197787,0.03958756,0.01375228,0.00713818,0.01654177,0.01946678,0.02626136,0.01767780,0.02153414,0.02404788,0.02573073,0.02892238,0.02159319,0.00950495,0.02916039
14,0.00665141,0.01477429,0.01077076,0.03116790,0.03550551,0.04185949,0.04644922,0.09324154,0.10571696,0.13159892,0.21507968,0.29788855,0.43461221,0.57349771,1.00000060,0.60550523,0.40481746,0.28255558,0.18494208,0.13088332,0.12739371,0.10677288,0.08963174,0.06106279,0.04898658,0.04600420,0.04504654,0.04624091,0.03972675,0.03932982,0.03562151,0.03221570,0.03348481,0.03013591,0.02912759,0.03537904
15,-0.01589369,-0.03136876,-0.01116729,-0.01093577,0.06061006,0.02350822,0.02060492,0.02828075,0.06179074,0.07381799,0.13679978,0.20371819,0.31201139,0.37654501,0.60550523,1.00000060,0.59669119,0.43984592,0.29380810,0.22209294,0.20227781,0.15222889,0.13131945,0.10002720,0.04427619,0.04734252,0.06210974,0.06254464,0.05532734,0.04869996,0.04429242,0.03849245,0.03638667,0.03724883,0.07611188,-0.06108510
16,0.00054561,-0.01796438,-0.01074307,-0.00694208,0.03867992,0.02044235,0.01268617,0.01986028,0.02646672,0.02350393,0.07571772,0.13636285,0.22589186,0.27233073,0.40481746,0.59669119,1.00000095,0.66959608,0.45356047,0.33158991,0.28953788,0.23914932,0.20840989,0.17318758,0.11281171,0.11619944,0.12482290,0.11032391,0.09677145,0.08513330,0.07780260,0.07052936,0.07136488,0.07350453,0.09740182,-0.03216453
17,-0.00768423,-0.03262990,-0.01603046,-0.03206561,0.03426017,-0.00028416,0.00492036,0.01119024,0.02814246,0.01029302,0.04920920,0.11033186,0.15289943,0.20024373,0.28255558,0.43984592,0.66959608,1.00000095,0.67064679,0.45302236,0.39042088,0.32941025,0.28706470,0.25634244,0.18269050,0.19031288,0.18061857,0.16980793,0.15644243,0.14036728,0.13255924,0.12690693,0.11690892,0.11667433,0.14475946,-0.03707406
18,-0.02016658,-0.04730310,-0.02089604,-0.01938718,0.07290768,0.01953178,0.01194077,-0.00430611,-0.00793480,-0.02121060,-0.00067713,0.05330713,0.06719969,0.11597657,0.18494208,0.29380810,0.45356047,0.67064679,1.00000072,0.62644231,0.51829767,0.41760176,0.36527053,0.34459513,0.25777635,0.25665936,0.24881066,0.22976936,0.21209712,0.18982233,0.18546925,0.18020871,0.17438081,0.16317485,0.18310620,-0.03191666
19,-0.01989429,-0.04382744,-0.01547598,-0.01568994,0.05174961,0.01423200,-0.00179862,-0.01368253,0.01075380,-0.02266070,-0.01138613,0.02268351,0.06037169,0.06785102,0.13088332,0.22209294,0.33158991,0.45302236,0.62644231,1.00000083,0.78172863,0.63501865,0.52921605,0.47535431,0.36938646,0.35543346,0.33553848,0.30929169,0.28991038,0.26695704,0.25348103,0.24129325,0.22646268,0.21003994,0.21911906,0.00093457
20,-0.02803204,-0.04707934,-0.01715081,-0.01952213,0.05278480,0.02000807,0.00850774,-0.00676723,0.00924256,-0.04137130,-0.02309451,0.02141831,0.04845624,0.04817101,0.12739371,0.20227781,0.28953788,0.39042088,0.51829767,0.78172863,1.00000107,0.78494865,0.63441443,0.56219172,0.43597272,0.42345071,0.40010157,0.36028582,0.33491266,0.30159289,0.28731987,0.27280316,0.25857103,0.24250442,0.25478467,0.00819843
21,-0.04391254,-0.05970308,-0.03933860,-0.02743225,0.04209150,0.01369740,0.01017865,-0.00106256,-0.00751133,-0.04451825,-0.01689542,0.02591011,0.05787253,0.05197787,0.10677288,0.15222889,0.23914932,0.32941025,0.41760176,0.63501865,0.78494865,1.00000107,0.78788900,0.65047091,0.50150973,0.48657107,0.44891226,0.40867537,0.37805307,0.34494093,0.32774553,0.30357739,0.27765387,0.25851732,0.25779331,0.02746417
22,-0.03666681,-0.04933277,-0.02579187,-0.02019190,0.04450896,0.00347832,-0.00508629,-0.01114867,-0.01018879,-0.04756198,-0.01174641,0.03549794,0.04589866,0.03958756,0.08963174,0.13131945,0.20840989,0.28706470,0.36527053,0.52921605,0.63441443,0.78788900,1.00000048,0.82295173,0.64860928,0.61722589,0.57374722,0.52680469,0.48513988,0.45138845,0.42354599,0.39152047,0.35162252,0.32327646,0.29730040,0.07061368
23,-0.04244705,-0.05937979,-0.03995703,-0.03254642,0.02661971,-0.02217894,-0.02894886,-0.02861936,-0.01284641,-0.04634356,-0.01329292,0.02404090,0.03723236,0.01375228,0.06106279,0.10002720,0.17318758,0.25634244,0.34459513,0.47535431,0.56219172,0.65047091,0.82295173,1.00000083,0.80312288,0.74694693,0.69975704,0.64154053,0.59006286,0.54593188,0.50848442,0.47586891,0.42893702,0.40294206,0.36579204,0.10652130
24,-0.02855798,-0.02481272,-0.01496350,-0.00415817,0.01164145,-0.02641830,-0.02544447,-0.02768691,-0.00439386,-0.02760879,0.00079499,0.01054419,0.03558676,0.00713818,0.04898658,0.04427619,0.11281171,0.18269050,0.25777635,0.36938646,0.43597272,0.50150973,0.64860928,0.80312288,1.00000095,0.90227437,0.82284170,0.75010842,0.68627155,0.63311958,0.59217167,0.55322039,0.49726987,0.45154208,0.38168705,0.22315322
25,-0.03369381,-0.02833603,-0.02025042,-0.00718691,0.02323244,-0.02638449,-0.02593194,-0.02899072,-0.00875693,-0.02678329,-0.00366829,0.00678733,0.02988222,0.01654177,0.04600420,0.04734252,0.11619944,0.19031288,0.25665936,0.35543346,0.42345071,0.48657107,0.61722589,0.74694693,0.90227437,1.00000060,0.90425396,0.83013958,0.75498009,0.69755208,0.65298313,0.60941213,0.55075407,0.50612307,0.43476433,0.21670604
26,-0.03339577,-0.03576216,-0.02976511,-0.02252003,0.01296580,-0.02387658,-0.03027240,-0.03005339,-0.00281945,-0.02899791,-0.00499354,0.00258608,0.02791130,0.01946678,0.04504654,0.06210974,0.12482290,0.18061857,0.24881066,0.33553848,0.40010157,0.44891226,0.57374722,0.69975704,0.82284170,0.90425396,1.00000072,0.91598457,0.82830024,0.76603198,0.71345812,0.66607952,0.60919601,0.57078195,0.50526375,0.21538647
27,-0.03460050,-0.03382188,-0.03389045,-0.02137990,0.01653581,-0.02407345,-0.02668664,-0.02618553,0.00496401,-0.02380356,-0.00378634,0.00298041,0.02601781,0.02626136,0.04624091,0.06254464,0.11032391,0.16980793,0.22976936,0.30929169,0.36028582,0.40867537,0.52680469,0.64154053,0.75010842,0.83013958,0.91598457,1.00000083,0.89838886,0.82729667,0.77175701,0.71830332,0.66111553,0.62024021,0.55221510,0.23567170
28,-0.03314599,-0.03588670,-0.03560830,-0.02431539,0.00634857,-0.01465786,-0.02559922,-0.02474815,0.00733678,-0.02355840,-0.00677804,0.00149861,0.02465595,0.01767780,0.03972675,0.05532734,0.09677145,0.15644243,0.21209712,0.28991038,0.33491266,0.37805307,0.48513988,0.59006286,0.68627155,0.75498009,0.82830024,0.89838886,1.00000083,0.91516960,0.85737759,0.79808456,0.73795336,0.69101095,0.60846442,0.26895818
29,-0.03284606,-0.02841790,-0.03039582,-0.01959648,-0.00355815,-0.00987293,-0.01771541,-0.02144575,0.00028179,-0.02175565,-0.00709905,0.00556276,0.02439432,0.02153414,0.03932982,0.04869996,0.08513330,0.14036728,0.18982233,0.26695704,0.30159289,0.34494093,0.45138845,0.54593188,0.63311958,0.69755208,0.76603198,0.82729667,0.91516960,1.00000095,0.93594354,0.87439615,0.80963016,0.75498807,0.65021479,0.32396409
30,-0.03107978,-0.02146794,-0.03166746,-0.01497216,-0.00433451,-0.01269859,-0.02151514,-0.02655849,-0.00781061,-0.02159788,-0.00242749,0.00334101,0.02181741,0.02404788,0.03562151,0.04429242,0.07780260,0.13255924,0.18546925,0.25348103,0.28731987,0.32774553,0.42354599,0.50848442,0.59217167,0.65298313,0.71345812,0.77175701,0.85737759,0.93594354,1.00000083,0.93497181,0.86449039,0.80279338,0.68615246,0.35873926
31,-0.02567582,-0.01811473,-0.02490702,-0.01286009,-0.00590345,-0.01460351,-0.02179964,-0.02951550,-0.00253969,-0.01480969,-0.00248156,-0.00211434,0.01483754,0.02573073,0.03221570,0.03849245,0.07052936,0.12690693,0.18020871,0.24129325,0.27280316,0.30357739,0.39152047,0.47586891,0.55322039,0.60941213,0.66607952,0.71830332,0.79808456,0.87439615,0.93497181,1.00000048,0.91723001,0.84917867,0.71958065,0.40671694
32,-0.02823453,-0.01924401,-0.03084723,-0.01900642,-0.00578491,-0.01013103,-0.01665442,-0.02614255,-0.00251815,-0.01593087,-0.01145507,-0.00042146,0.01256094,0.02892240,0.03348483,0.03638668,0.07136485,0.11690890,0.17438082,0.22646271,0.25857100,0.27765390,0.35162261,0.42893696,0.49726999,0.55075407,0.60919595,0.66111547,0.73795331,0.80963004,0.86448991,0.91723031,1.00000095,0.92468441,0.78953671,0.44389075
33,-0.02574127,-0.02856111,-0.03326410,-0.02025438,0.00667241,-0.01248883,-0.02141209,-0.01688727,0.00158717,-0.01727397,-0.01440459,-0.00417824,0.00004719,0.02159319,0.03013592,0.03724882,0.07350450,0.11667435,0.16317479,0.21003999,0.24250445,0.25851732,0.32327649,0.40294197,0.45154208,0.50612313,0.57078195,0.62024009,0.69101107,0.75498790,0.80279362,0.84917873,0.92468441,1.00000072,0.86930013,0.43805611
34,-0.02574724,-0.02971700,-0.04145930,-0.02291301,0.00859957,-0.02085152,-0.03135322,-0.03477155,-0.01006189,-0.03328545,-0.04037565,-0.02675031,-0.02098839,0.00950495,0.02912759,0.07611188,0.09740178,0.14475948,0.18310621,0.21911915,0.25478458,0.25779328,0.29730040,0.36579198,0.38168705,0.43476439,0.50526386,0.55221516,0.60846454,0.65021467,0.68615252,0.71958029,0.78953671,0.86930013,1.00000060,0.36001384
35,0.05863712,0.11668763,0.04804622,0.07197008,-0.04900930,0.00446342,0.01850062,0.01309770,0.03280816,0.03544827,0.04938640,0.01962229,0.03767324,0.02916040,0.03537903,-0.06108506,-0.03216451,-0.03707404,-0.03191668,0.00093455,0.00819842,0.02746414,0.07061363,0.10652120,0.22315320,0.21670604,0.21538644,0.23567176,0.26895809,0.32396412,0.35873923,0.40671712,0.44389075,0.43805611,0.36001384,1.00000095
